Entry	Entry name	Protein names
P78318	IGBP1_HUMAN	Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16)
Q8IVU1	IGDC3_HUMAN	Immunoglobulin superfamily DCC subclass member 3 (Putative neuronal cell adhesion molecule)
Q8TDY8	IGDC4_HUMAN	Immunoglobulin superfamily DCC subclass member 4 (Neighbor of punc e11) (Protein DDM36) (hDDM36)
Q86VF2	IGFN1_HUMAN	Immunoglobulin-like and fibronectin type III domain-containing protein 1 (EEF1A2-binding protein 1) (KY-interacting protein 1)
P01591	IGJ_HUMAN	Immunoglobulin J chain
P15814	IGLL1_HUMAN	Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b)
B9A064	IGLL5_HUMAN	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)
Q6WRI0	IGS10_HUMAN	Immunoglobulin superfamily member 10 (IgSF10) (Calvaria mechanical force protein 608) (CMF608)
Q5DX21	IGS11_HUMAN	Immunoglobulin superfamily member 11 (IgSF11) (Brain and testis-specific immunoglobulin superfamily protein) (Bt-IGSF) (V-set and immunoglobulin domain-containing protein 3)
Q96ID5	IGS21_HUMAN	Immunoglobulin superfamily member 21 (IgSF21)
Q8N9C0	IGS22_HUMAN	Immunoglobulin superfamily member 22 (IgSF22)
A1L1A6	IGS23_HUMAN	Immunoglobulin superfamily member 23
Q8N6C5	IGSF1_HUMAN	Immunoglobulin superfamily member 1 (IgSF1) (Immunoglobulin-like domain-containing protein 1) (Inhibin-binding protein) (InhBP) (Pituitary gland-specific factor 2) (p120)
Q93033	IGSF2_HUMAN	Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101)
O75054	IGSF3_HUMAN	Immunoglobulin superfamily member 3 (IgSF3) (Glu-Trp-Ile EWI motif-containing protein 3) (EWI-3)
Q9NSI5	IGSF5_HUMAN	Immunoglobulin superfamily member 5 (IgSF5) (Junctional adhesion molecule 4) (JAM-4)
O95976	IGSF6_HUMAN	Immunoglobulin superfamily member 6 (IgSF6) (Protein DORA)
Q969P0	IGSF8_HUMAN	Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316)
P01009	A1AT_HUMAN	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]
Q9UK55	ZPI_HUMAN	Protein Z-dependent protease inhibitor (PZ-dependent protease inhibitor) (PZI) (Serpin A10)
Q86U17	SPA11_HUMAN	Serpin A11
Q8IW75	SPA12_HUMAN	Serpin A12 (OL-64) (Visceral adipose tissue-derived serine protease inhibitor) (Vaspin) (Visceral adipose-specific serpin)
Q6UXR4	SPA13_HUMAN	Putative serpin A13
P20848	A1ATR_HUMAN	Putative alpha-1-antitrypsin-related protein (Protease inhibitor 1-like) (Serpin A2)
P01011	AACT_HUMAN	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]
P29622	KAIN_HUMAN	Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)
P05154	IPSP_HUMAN	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)
P08185	CBG_HUMAN	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)
Q86WD7	SPA9_HUMAN	Serpin A9 (Centerin) (Germinal center B-cell-expressed transcript 1 protein)
P30740	ILEU_HUMAN	Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1)
